 ,area,diameter,out_layer_involvement
volume_1,5048,108,4.34553847509596
volume_10,1331,67,2.98839394855483
volume_100,3034,90,5.19345537450547
volume_101,2051,73,1.49470010121629
volume_102,1123,57,0
volume_103,1706,67,1.16768695768107
volume_104,3602,91,3.57954532554428
volume_105,1179,56,0.975049219364026
volume_106,3053,109,3.82037398094738
volume_107,1071,53,0.00100071801517589
volume_108,1001,49,0.000237500920316066
volume_109,2462,112,0.89537041116545
volume_11,1377,59,1.28081833486763
volume_110,584,45,0.315752175225397
volume_111,1678,62,1.10875017261579
volume_112,4072,114,4.94762255316619
volume_113,2862,84,3.70732239569901
volume_114,2331,67,0.284002207005103
volume_115,2181,82,0.657550822846079
volume_116,2168,75,1.84661615646944
volume_117,2526,81,0.170130334032478
volume_118,1321,64,0.466144633809304
volume_119,1211,50,2.43126186189109
volume_12,1399,59,2.15248087949753
volume_120,3565,90,0.0158134754065575
volume_121,3800,88,4.33619761485129
volume_122,850,35,0.973275979720679
volume_123,3343,96,5.90159398609072
volume_124,4495,94,6.3402488351064
volume_125,3529,107,0.85789964192868
volume_126,1148,50,2.48456872816721
volume_127,1627,56,1.6774686379078
volume_128,1258,59,3.15255526298797
volume_129,1784,65,1.21140795343232
volume_13,1632,67,0
volume_130,2458,90,3.80601535605057
volume_131,1579,60,0.875963885048299
volume_132,4059,98,4.1789255623899
volume_133,2705,66,5.34504860885688
volume_134,1715,74,5.45073672327592
volume_135,5165,106,6.91350030903258
volume_136,2144,93,0
volume_137,4479,110,6.75090764890443
volume_138,4787,103,8.23063198215216
volume_139,1100,43,0.118719804771877
volume_14,2372,91,2.06476429136264
volume_140,3200,95,1.77927572829085
volume_141,841,36,1.32136811038368
volume_142,645,33,0
volume_143,3519,77,4.99853281003558
volume_144,4449,93,3.79456939729597
volume_145,2162,72,3.16360855169305
volume_146,2736,94,4.11415466097617
volume_147,3119,76,0.945347842034479
volume_148,3287,97,6.01036053299128
volume_149,5341,120,5.41152124089779
volume_15,2794,87,0.234900628604107
volume_150,3636,86,5.57699485667651
volume_151,3629,97,5.80642976592985
volume_152,4751,104,3.70851489755658
volume_153,2572,90,4.66022736986067
volume_154,2608,91,1.08364011227254
volume_155,2548,92,5.42110916668269
volume_156,2950,85,4.60434816327586
volume_157,2813,92,1.40817380346678
volume_158,1783,58,2.5966177712627
volume_159,1229,61,0.524068864576648
volume_16,3024,90,3.62850437835165
volume_160,2616,81,0.161219619112561
volume_161,1807,64,0.149077893199197
volume_162,2641,78,0.819953492093398
volume_163,3574,87,6.70020717604222
volume_164,3556,96,2.76451375748738
volume_165,3183,99,1.06725331822754
volume_166,4191,107,6.58381206984813
volume_167,2515,76,2.25630829447035
volume_168,3681,101,4.17871153009981
volume_169,1988,61,0.0897331668310603
volume_17,2299,71,2.82907808348572
volume_170,2904,86,3.14615050335047
volume_171,3462,84,4.51001941229034
volume_172,933,48,0.500879202856077
volume_173,3348,90,5.37721518987342
volume_174,2348,79,0.305089519001601
volume_175,4863,97,4.40146099872011
volume_176,2525,75,1.85487054095478
volume_177,847,38,0
volume_178,2292,64,3.87997749519672
volume_179,2048,66,2.16081728050665
volume_18,1689,76,0
volume_180,3412,118,5.32939483303178
volume_181,1587,70,4.5068279549587
volume_182,1405,57,0.416414674434004
volume_183,4559,107,7.21502752337429
volume_184,2846,90,2.05352046139008
volume_185,2542,87,0.0759398410508432
volume_186,3294,104,3.26075198194996
volume_187,2555,70,3.01319059956075
volume_188,2012,94,0.0766780383336382
volume_189,2881,84,1.31715779152658
volume_19,1372,50,3.80117731605758
volume_190,1442,60,2.38046209991738
volume_191,3569,99,2.78853107041469
volume_192,2266,69,3.07690723984229
volume_193,3253,76,1.38894887320659
volume_194,2817,79,3.25270612708982
volume_195,1827,66,1.91748942172073
volume_196,3996,104,5.56379840902997
volume_197,3278,81,4.76716225658777
volume_198,2859,83,4.5206401159366
volume_199,2195,68,2.4516527887792
volume_2,2105,85,2.54886483866866
volume_20,4223,126,6.52167925896685
volume_200,1436,49,1.66735104857964
volume_201,3361,82,6.70736661289012
volume_202,2315,71,4.63200927597212
volume_203,2566,81,2.78320147717466
volume_204,1075,48,0.932692375105457
volume_205,1321,51,0.746511908859444
volume_206,1014,49,0.309745835837682
volume_207,1648,71,2.62032642090831
volume_208,3792,91,3.21081548005395
volume_209,2277,79,2.21726580949882
volume_21,1597,73,0.696481530321706
volume_210,4276,95,2.69458448242548
volume_211,2226,83,1.04882511073847
volume_212,3922,94,3.7121012265929
volume_213,2061,71,1.07079878253661
volume_214,3078,81,6.1871563263433
volume_215,2127,72,2.12437350185226
volume_216,2100,71,0.832401646596285
volume_217,869,40,1.51650419843644
volume_218,3229,85,2.77726044083819
volume_219,2230,87,5.88217468490605
volume_22,1889,61,0.0707457883778156
volume_220,3424,105,3.18207601983286
volume_221,3529,92,4.19461278998044
volume_222,960,43,0.0989595999239143
volume_223,3647,86,3.80879280399036
volume_224,3417,105,4.40574319225282
volume_225,4587,102,6.35054621342068
volume_226,2516,73,0.496705623018397
volume_227,1743,75,1.07585922888176
volume_228,2404,78,3.89042881078957
volume_229,2407,75,0.663203956910337
volume_23,1316,69,0.180123276048957
volume_230,2745,80,2.08344414986688
volume_231,3297,89,5.58720911622547
volume_232,2483,85,7.68900740740741
volume_233,503,33,2.35389235950091
volume_234,3812,79,1.33309083866152
volume_235,4952,99,3.60325006441974
volume_236,2759,84,5.56763830718699
volume_237,4199,90,3.23208081378477
volume_238,4058,96,5.44400303174652
volume_239,2229,86,0.0565304138742518
volume_24,1935,61,2.99005313447286
volume_240,3813,89,6.05221660967713
volume_241,5159,114,3.70569367408145
volume_242,2070,75,1.60909057296738
volume_243,3446,109,6.04717631351909
volume_244,3238,100,5.82009437341199
volume_245,3538,97,4.74651036316394
volume_246,2145,67,3.54893487266839
volume_247,3178,82,6.06326844262295
volume_248,2195,75,1.86816314502256
volume_249,1982,74,3.04712104106008
volume_25,2028,71,1.06800954848444
volume_250,2193,68,3.58726615621899
volume_251,2396,67,3.37490829053558
volume_252,4423,92,6.92358341443732
volume_253,1488,61,0.027652409216153
volume_254,3573,85,4.00858419798783
volume_255,3663,90,6.99912147981844
volume_256,4319,104,4.48811074765917
volume_257,2309,66,2.8378126574358
volume_258,3090,74,5.48873672464313
volume_259,3124,76,7.58052769177647
volume_26,3878,110,1.73839920495375
volume_260,1729,54,0.0318190063548801
volume_261,5330,90,8.11721859913611
volume_262,1868,71,1.57351011368956
volume_263,1182,61,1.16306997327392
volume_264,1053,40,1.80718464532084
volume_265,1729,59,0.218682368098367
volume_266,1798,59,2.50750708967778
volume_267,2529,81,4.8184204628301
volume_268,1045,50,0.0102935675245476
volume_269,1233,47,1.68862645747514
volume_27,1818,77,1.81050105010501
volume_270,3552,105,4.27866520248833
volume_271,1424,60,0.0598448778584497
volume_272,4864,105,4.48788512353751
volume_273,5777,132,3.62689138522174
volume_274,4113,91,10.5120735352453
volume_275,1343,63,0.59583400613596
volume_276,1883,63,0.588473926792671
volume_277,847,57,2.76891519841851
volume_278,2629,74,6.08047994452254
volume_279,3321,78,6.13431090546704
volume_28,1071,58,0.0281352032654987
volume_280,1428,48,1.93920862585746
volume_281,3112,89,1.47821372114276
volume_282,2212,64,1.83795409862994
volume_283,1461,50,0.638838439961425
volume_284,4461,106,5.36214975254512
volume_285,3117,90,3.11593115498775
volume_286,770,39,0.355294345281285
volume_287,1860,60,3.67077545164025
volume_288,2469,78,2.26004075225239
volume_289,3859,101,4.40290221252825
volume_29,1898,85,1.79055772723319
volume_290,4941,109,7.42991005436825
volume_291,4394,93,3.03515582620673
volume_292,2714,76,0.514499771959762
volume_293,6444,124,9.50429707700263
volume_294,2577,76,1.93612142712392
volume_295,1022,43,1.05857615867364
volume_296,3997,95,5.13739577462563
volume_297,1822,64,5.11528828587609
volume_298,1620,66,1.32703054141948
volume_299,2903,73,5.17384627004708
volume_3,942,52,1.15850687286143
volume_30,2137,82,1.62480983031012
volume_300,2489,77,3.87516514983235
volume_301,3647,114,4.23552503436138
volume_302,2839,79,7.48517721985243
volume_303,1117,63,2.38210417504748
volume_304,1280,58,0.928020113964493
volume_305,3470,102,3.26481822631383
volume_306,4333,121,3.66541852880783
volume_307,3578,96,2.30313550593169
volume_308,4970,98,10.2239039982292
volume_309,4336,111,5.43695383749923
volume_31,1906,96,1.22386732191147
volume_310,4354,100,3.89585467138837
volume_311,1316,51,1.7136273617225
volume_312,4073,92,2.18365330428871
volume_313,3702,98,1.27744520708213
volume_314,946,50,2.06567116046932
volume_315,1223,44,1.40230810520666
volume_316,6212,123,5.95581945352991
volume_317,787,36,2.06062589525409
volume_318,5009,94,4.92635221511011
volume_319,3114,83,5.11819764968983
volume_32,980,54,0.346044393853159
volume_320,1202,61,2.13617233359176
volume_321,1723,72,1.21768999570631
volume_322,2549,67,3.50481656077065
volume_323,5258,110,8.65998633226612
volume_324,2026,65,0.995727329906522
volume_325,753,36,0
volume_326,2855,77,2.23281809360456
volume_327,4185,101,5.41469873739743
volume_328,6426,109,9.73356282591349
volume_329,2221,84,0.107179052206649
volume_33,3195,80,3.51205557608612
volume_330,1658,59,1.80055117868229
volume_331,2072,78,3.07781482333103
volume_332,1790,60,1.86433577087142
volume_333,4070,90,8.31833931267848
volume_334,3696,102,5.28799723027023
volume_335,2885,83,4.29549250407603
volume_336,2326,70,2.31866069492527
volume_337,2395,71,1.99628478330636
volume_338,3837,94,1.77770469885494
volume_339,3361,87,0.620930973380851
volume_34,2186,74,2.76524036221044
volume_340,2431,70,0.000247343530482617
volume_341,651,44,1.22492483000217
volume_342,4021,114,2.13924077878409
volume_343,3862,106,4.06321532431115
volume_344,2571,82,4.09207091507449
volume_345,3113,114,1.04449721938908
volume_346,2109,72,0.115867214288406
volume_347,2909,81,1.75587683478645
volume_348,2236,69,0
volume_349,5051,102,9.36580571849759
volume_35,2508,91,0.763965210949437
volume_350,2076,64,0.910943746923265
volume_351,2578,86,2.8092670431226
volume_352,1472,54,4.15730746348393
volume_353,1769,73,0.977867633833537
volume_354,3945,90,4.33529330150179
volume_355,3139,93,3.42734816384181
volume_356,1186,53,2.37823981771575
volume_357,2353,85,2.41158653058997
volume_358,2515,91,4.62931758488063
volume_359,2256,67,3.70377066115703
volume_36,855,41,0.569081426699783
volume_360,3331,83,4.49891482924152
volume_361,2136,63,2.62719452346681
volume_362,3516,91,5.28125761974209
volume_363,2800,84,3.56719422628568
volume_364,2409,93,2.84224446570836
volume_365,3972,83,3.97156191760602
volume_366,1863,76,2.13077608111872
volume_367,3281,93,1.79135283335644
volume_368,2475,76,3.29147913256956
volume_369,4167,98,2.37670627843797
volume_37,4306,110,5.8697451132573
volume_38,2065,83,3.6613706183335
volume_39,1633,55,0.782674386633673
volume_4,2751,79,4.26733127703646
volume_40,4893,94,4.02479060331687
volume_41,2578,78,4.70540098199673
volume_42,1853,64,0.71686133998513
volume_43,1475,74,1.20361384537178
volume_44,567,60,0.0140128871060063
volume_45,2273,65,0.791280114214067
volume_46,1318,80,0.557134521636018
volume_47,3551,84,0.132426783487907
volume_48,1347,60,2.57085206350435
volume_49,1875,65,2.68757184674275
volume_5,779,42,2.27236940518836
volume_50,2428,79,2.67653534411109
volume_51,3205,84,2.506546182677
volume_52,1241,55,1.30988291834961
volume_53,3112,80,4.81862868996052
volume_54,2331,88,1.11189005845542
volume_55,3017,78,4.22872202090955
volume_56,1492,90,0.500509857239973
volume_57,2529,77,2.42910033215795
